City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
343,hood river,40,US,1686505076,60,32.4335,-97.867,93.34,9.22
344,kosiv,100,UA,1686505076,99,48.3107,25.0958,51.28,5.44
345,gambela,96,ET,1686505077,94,8.25,34.5833,71.8,2.28
346,vorkuta,100,RU,1686505077,77,67.5,64.0,35.71,21.45
347,qarqaraly,9,KZ,1686505077,62,49.4058,75.4742,54.0,2.71
348,novotroitsk,60,RU,1686505077,51,51.203,58.3266,70.5,3.6
349,cacu,4,BR,1686505078,24,-18.5567,-51.1308,90.14,6.76
350,prince rupert,23,CA,1686505078,39,52.9669,-108.3847,77.16,10.58
351,palikir - national government center,75,FM,1686505078,78,6.9248,158.1611,81.34,4.61
352,northam,83,GB,1686505078,87,51.0333,-4.2167,63.39,7.9
353,aykhal,100,RU,1686505079,98,66.0,111.5,32.58,18.97
354,la'ie,39,US,1686505079,76,21.6477,-157.9253,80.56,5.01
355,merta,0,IN,1686505079,28,26.65,74.0333,95.52,11.25
356,castro,3,BR,1686505079,49,-24.7911,-50.0119,74.12,9.33
357,san-pedro,100,CI,1686505079,87,4.7485,-6.6363,76.91,8.57
358,cotacachi,49,EC,1686505080,63,0.3,-78.2667,72.95,5.21
359,pariaman,20,ID,1686505080,86,-0.619,100.12,78.85,3.22
360,mccook,75,US,1686504798,70,40.2019,-100.6257,70.25,13.8
361,oranjemund,1,NA,1686505080,79,-28.55,16.4333,56.97,8.16
362,san jose de las lajas,85,ML,1686505081,49,13.3034,-4.8956,83.05,16.22
363,qarazhal,44,KZ,1686505081,33,48.0078,70.7903,68.23,10.09
